          v_imp          E_int        E_k_cls        E_k_trg          E_kin     Adherence?
     0.20000000    -1.18061806     1.47097022     0.00223564     1.47320586              1
     0.30000000    -0.82874408     1.41591191     0.00172544     1.41763735              1
     0.40000000     0.00000000     1.16622594     0.00154888     1.16777482              0
     0.50000000     0.00000000     1.67528403     0.00154888     1.67683291              0
     0.60000000     0.00000000     2.37865545     0.00154887     2.38020432              0
     0.70000000     0.00000000     2.89520631     0.00154888     2.89675519              0
     0.80000000     0.00000000     2.64254203     0.00154888     2.64409091              0
     0.90000000    -1.24652764     4.48677914     0.00166552     4.48844466              1
     1.00000000    -2.11045462     3.57793868     0.00231796     3.58025664              1
     1.10000000    -0.93103412     5.89123627     0.00432162     5.89555789              1
     1.20000000    -2.24552573     4.01074795     0.00339334     4.01414129              1
     1.30000000    -1.93992730     3.72125961     0.00184018     3.72309979              1
     1.40000000    -1.07505026     2.96036237     0.00178562     2.96214799              1
     1.50000000     0.00000000     6.57959948     0.00154888     6.58114836              0
