Absolute Velocity    N_Total  N_cls    N_adh    
     0.20000000      13      13       3
     0.30000000      13      13       3
     0.40000000      13      13       0
     0.50000000      13      13       0
     0.60000000      13      13       0
     0.70000000      13      13       0
     0.80000000      13      13       0
     0.90000000      13      13       3
     1.00000000      13      13       5
     1.10000000      13      13       2
     1.20000000      13      13       5
     1.30000000      13      13       5
     1.40000000      13      13       3
     1.50000000      13      13       0
